"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group D","associate's degree","standard","completed","73","72","68"
"male","group E","associate's degree","standard","completed","100","98","97"
"male","group D","associate's degree","standard","completed","75","63","67"
"female","group E","bachelor's degree","standard","none","72","82","87"
"male","group B","associate's degree","free/reduced","none","45","48","46"
"female","group A","bachelor's degree","standard","none","86","86","89"
"female","group D","some high school","free/reduced","completed","58","57","62"
"male","group B","some high school","standard","none","76","68","61"
"male","group D","bachelor's degree","standard","none","66","55","55"
"male","group C","some college","standard","none","73","66","61"
"female","group B","some college","standard","none","69","79","82"
"female","group E","high school","standard","none","74","71","73"
"male","group D","some high school","standard","completed","70","72","73"
"female","group C","high school","standard","completed","58","73","66"
"male","group C","some high school","standard","completed","49","35","32"
"male","group E","high school","free/reduced","none","74","75","70"
"female","group D","associate's degree","free/reduced","none","54","71","65"
"female","group E","some college","free/reduced","none","49","65","64"
"female","group B","master's degree","free/reduced","none","51","64","66"
"female","group C","associate's degree","standard","none","72","71","75"
"male","group C","some high school","free/reduced","none","60","70","62"
"female","group B","bachelor's degree","standard","none","52","66","71"
"female","group E","high school","standard","none","82","91","84"
"male","group C","bachelor's degree","standard","none","76","78","79"
"female","group C","some college","standard","completed","59","63","65"
"female","group E","high school","standard","none","84","83","80"
"male","group C","some high school","standard","completed","53","46","47"
"female","group D","some high school","standard","none","66","75","75"
"female","group C","associate's degree","standard","none","42","60","61"
"female","group C","high school","standard","completed","77","88","84"
"male","group D","associate's degree","standard","none","73","68","69"
"female","group D","some college","free/reduced","completed","59","77","81"
"male","group B","some college","free/reduced","completed","80","80","75"
"male","group A","associate's degree","standard","completed","67","63","63"
"male","group B","high school","standard","none","54","57","58"
"male","group C","associate's degree","free/reduced","none","51","49","43"
"male","group B","bachelor's degree","standard","none","69","59","64"
"male","group C","associate's degree","free/reduced","completed","71","62","59"
"female","group D","associate's degree","standard","none","89","90","86"
"male","group C","some college","free/reduced","completed","61","75","72"
"female","group B","some high school","standard","none","84","89","87"
"female","group B","some college","standard","none","77","82","78"
"male","group D","some high school","standard","none","68","52","52"
"male","group E","some high school","standard","completed","83","68","73"
"male","group B","some college","standard","none","68","54","54"
"female","group C","bachelor's degree","standard","completed","52","60","65"
"female","group B","some high school","standard","none","65","75","68"
"male","group C","high school","standard","none","82","82","72"
"female","group C","master's degree","standard","none","57","78","75"
"female","group B","associate's degree","free/reduced","none","62","77","77"
"female","group E","some college","standard","completed","73","85","85"
"female","group D","associate's degree","standard","none","81","80","81"
"female","group C","bachelor's degree","free/reduced","none","52","67","63"
"male","group C","high school","standard","none","66","64","52"
"female","group C","some high school","standard","none","66","74","77"
"male","group D","some college","standard","none","72","59","58"
"male","group B","associate's degree","standard","completed","70","79","73"
"female","group A","high school","free/reduced","completed","26","41","43"
"male","group E","high school","free/reduced","completed","80","77","81"
"male","group C","associate's degree","free/reduced","none","57","59","54"
"female","group E","some college","free/reduced","completed","78","86","87"
"female","group D","associate's degree","free/reduced","none","75","77","76"
"female","group D","bachelor's degree","free/reduced","completed","47","55","57"
"female","group D","bachelor's degree","free/reduced","none","74","82","88"
"male","group C","bachelor's degree","standard","none","64","63","51"
"male","group E","bachelor's degree","standard","none","80","69","68"
"female","group D","some high school","standard","none","70","79","84"
"female","group C","some high school","standard","none","74","75","76"
"male","group C","associate's degree","standard","none","81","63","60"
"female","group B","associate's degree","standard","completed","92","100","100"
"female","group C","some high school","standard","none","53","66","66"
"female","group D","associate's degree","free/reduced","none","72","90","87"
"female","group B","associate's degree","free/reduced","none","49","66","64"
"male","group C","some high school","standard","completed","71","76","69"
"female","group E","master's degree","standard","none","95","97","100"
"male","group E","bachelor's degree","standard","none","87","88","89"
"female","group B","some college","standard","none","71","73","69"
"female","group D","high school","standard","completed","64","68","74"
"female","group C","associate's degree","free/reduced","completed","57","76","77"
"male","group E","master's degree","standard","none","84","71","70"
"female","group E","high school","standard","completed","79","85","82"
"female","group D","high school","standard","completed","88","100","100"
"female","group E","associate's degree","standard","none","79","79","84"
"female","group B","some high school","free/reduced","none","55","60","60"
"female","group A","some college","standard","completed","70","79","76"
"male","group C","associate's degree","standard","none","100","85","83"
"male","group B","master's degree","free/reduced","completed","75","80","72"
"male","group A","high school","standard","completed","90","93","90"
"female","group D","associate's degree","standard","none","49","57","53"
"female","group C","associate's degree","standard","none","51","65","71"
"female","group D","high school","free/reduced","none","62","80","75"
"female","group C","associate's degree","standard","completed","56","58","59"
"male","group D","some college","standard","completed","66","58","63"
"male","group D","bachelor's degree","standard","none","70","73","68"
"female","group D","master's degree","standard","none","69","71","69"
"female","group D","some college","standard","none","47","49","46"
"female","group E","some college","free/reduced","none","65","63","66"
"male","group B","associate's degree","standard","none","60","63","54"
"male","group B","some high school","standard","none","59","51","50"
"female","group C","some college","standard","none","54","71","67"
"female","group D","master's degree","standard","none","90","91","94"
"male","group D","some high school","free/reduced","none","69","75","63"
"female","group C","bachelor's degree","free/reduced","none","66","75","80"
"male","group D","bachelor's degree","standard","none","90","73","79"
"female","group D","bachelor's degree","free/reduced","none","72","79","83"
"female","group C","some college","standard","completed","63","73","65"
"female","group C","master's degree","free/reduced","completed","66","77","74"
"female","group C","some high school","free/reduced","none","49","53","53"
"female","group A","some high school","free/reduced","completed","78","93","94"
"female","group C","some college","free/reduced","none","48","56","56"
"female","group B","some high school","standard","none","47","67","65"
"female","group C","some high school","standard","none","56","57","58"
"male","group C","high school","standard","completed","85","88","86"
"male","group D","master's degree","standard","none","81","74","78"
"female","group D","associate's degree","standard","none","54","58","54"
"female","group B","high school","standard","none","69","68","65"
"male","group B","some college","standard","none","73","69","57"
"female","group C","some high school","free/reduced","none","60","68","62"
"female","group B","some high school","standard","none","57","67","62"
"female","group D","master's degree","standard","none","73","80","78"
"female","group B","high school","standard","none","49","51","55"
"male","group B","some college","standard","none","69","70","67"
"female","group E","some college","standard","completed","83","81","82"
"female","group C","high school","free/reduced","none","41","55","53"
"female","group E","associate's degree","free/reduced","none","61","70","69"
"male","group B","some college","standard","none","78","75","76"
"female","group D","associate's degree","standard","none","50","56","63"
"male","group E","high school","standard","completed","75","67","67"
"male","group B","some college","standard","none","56","42","43"
"female","group E","some high school","standard","none","85","77","78"
"male","group B","associate's degree","standard","completed","72","71","66"
"male","group C","some high school","standard","none","66","57","62"
"male","group B","some high school","standard","completed","63","60","60"
"female","group E","some college","free/reduced","completed","87","99","100"
"female","group B","some college","standard","completed","82","93","98"
"female","group A","associate's degree","free/reduced","none","41","68","63"
"female","group E","bachelor's degree","free/reduced","completed","86","98","93"
"female","group B","some high school","free/reduced","none","46","51","45"
"female","group B","associate's degree","free/reduced","completed","71","75","76"
"female","group A","some college","standard","none","55","58","53"
"female","group B","high school","standard","none","65","73","72"
"male","group B","high school","free/reduced","completed","32","40","41"
"male","group A","some high school","free/reduced","completed","61","68","64"
"male","group C","some high school","free/reduced","none","45","33","26"
"female","group C","associate's degree","free/reduced","none","49","55","54"
"male","group B","some college","free/reduced","none","65","70","66"
"male","group C","some college","free/reduced","none","69","67","59"
"male","group A","associate's degree","standard","none","86","85","84"
"female","group D","high school","standard","completed","72","79","86"
"male","group E","some high school","standard","completed","86","71","77"
"male","group B","some college","standard","none","90","90","83"
"male","group B","some college","standard","none","44","42","38"
"male","group E","some high school","standard","none","72","49","54"
"female","group B","some college","free/reduced","none","17","36","33"
"female","group D","some high school","standard","completed","69","76","81"
"female","group C","associate's degree","free/reduced","none","33","51","44"
"female","group D","some college","standard","completed","52","56","64"
"female","group B","associate's degree","standard","completed","63","67","67"
"male","group B","bachelor's degree","free/reduced","none","68","71","65"
"female","group C","some high school","standard","none","52","63","59"
"male","group C","bachelor's degree","free/reduced","completed","48","49","46"
"male","group A","associate's degree","standard","none","91","95","87"
"male","group B","some high school","free/reduced","completed","51","47","40"
"male","group A","associate's degree","standard","none","61","53","55"
"male","group B","some college","free/reduced","completed","82","90","84"
"male","group B","some high school","standard","none","77","75","65"
"female","group C","some high school","standard","none","49","59","55"
"male","group B","some high school","standard","none","76","76","71"
"female","group C","some college","standard","completed","83","91","97"
"female","group A","high school","standard","completed","52","66","59"
"female","group D","some college","standard","none","37","58","59"
"female","group A","high school","standard","none","32","48","44"
"female","group D","associate's degree","standard","none","59","69","70"
"female","group B","some college","standard","none","69","70","71"
"female","group C","bachelor's degree","standard","none","82","100","96"
"male","group B","bachelor's degree","standard","none","51","40","44"
"male","group B","high school","free/reduced","completed","61","61","64"
"male","group B","some high school","free/reduced","none","40","45","39"
"male","group C","associate's degree","standard","none","62","75","67"
"male","group D","some high school","standard","completed","94","83","88"
"male","group C","some high school","free/reduced","none","74","68","69"
"female","group B","master's degree","standard","none","76","73","73"
"male","group D","some high school","free/reduced","none","78","71","68"
"male","group D","associate's degree","free/reduced","none","54","56","61"
"female","group D","some high school","standard","completed","67","86","82"
"female","group B","associate's degree","standard","none","80","85","80"
"male","group E","high school","free/reduced","completed","62","64","60"
"male","group E","some college","free/reduced","none","54","52","49"
"female","group D","some high school","free/reduced","completed","74","94","92"
"female","group B","associate's degree","standard","none","59","65","59"
"female","group E","bachelor's degree","standard","completed","83","85","88"
"male","group D","some college","free/reduced","completed","52","53","51"
"female","group E","associate's degree","free/reduced","none","66","76","73"
"female","group D","some high school","standard","completed","82","91","99"
"female","group C","high school","standard","none","39","42","43"
"male","group D","some college","standard","none","73","72","72"
"male","group A","associate's degree","standard","completed","64","63","62"
"male","group C","high school","free/reduced","completed","75","69","70"
"female","group C","master's degree","free/reduced","none","65","68","72"
"female","group E","some college","standard","none","59","68","61"
"female","group E","master's degree","standard","completed","71","79","80"
"male","group B","associate's degree","standard","none","85","70","64"
"male","group C","some high school","free/reduced","completed","68","70","71"
"male","group E","some college","standard","none","73","66","59"
"female","group C","some high school","standard","none","50","58","53"
"male","group C","bachelor's degree","standard","none","63","62","58"
"female","group D","some high school","standard","completed","68","73","81"
"male","group C","bachelor's degree","free/reduced","none","54","60","58"
"female","group B","associate's degree","standard","completed","58","68","74"
"female","group B","bachelor's degree","standard","none","38","57","59"
"female","group B","master's degree","standard","completed","79","85","91"
"male","group B","some college","standard","completed","52","44","44"
"male","group E","bachelor's degree","standard","none","92","86","83"
"male","group C","bachelor's degree","standard","none","58","62","54"
"female","group D","master's degree","standard","none","78","88","85"
"male","group A","bachelor's degree","free/reduced","completed","66","76","71"
"female","group D","associate's degree","free/reduced","none","69","87","87"
"male","group C","bachelor's degree","free/reduced","none","61","65","64"
"male","group B","high school","standard","completed","86","82","83"
"female","group C","some college","free/reduced","none","79","85","85"
"female","group B","some high school","standard","none","51","61","60"
"male","group D","some college","free/reduced","none","46","50","49"
"female","group B","high school","standard","completed","79","95","88"
"female","group D","some college","free/reduced","completed","77","91","93"
"female","group C","master's degree","standard","completed","74","76","86"
"female","group D","associate's degree","standard","completed","72","83","81"
"male","group D","associate's degree","standard","none","63","56","60"
"male","group A","associate's degree","standard","none","72","70","68"
"female","group B","bachelor's degree","standard","none","66","78","83"
"male","group B","high school","standard","none","54","33","35"
"female","group C","high school","free/reduced","none","50","74","65"
"male","group D","master's degree","standard","none","87","79","86"
"male","group C","high school","standard","none","44","51","46"
"male","group C","some college","free/reduced","none","61","63","58"
"female","group B","associate's degree","standard","completed","53","68","69"
"female","group C","some college","free/reduced","none","48","66","64"
"male","group C","some high school","standard","completed","56","49","48"
"female","group D","associate's degree","free/reduced","none","45","57","59"
"female","group C","some college","standard","completed","87","86","88"
"female","group B","some college","standard","completed","69","86","88"
"female","group C","some high school","standard","none","63","87","77"
"female","group C","some high school","free/reduced","completed","55","71","63"
"male","group D","some college","standard","completed","87","84","82"
"female","group D","associate's degree","standard","completed","63","68","74"
"female","group C","some college","free/reduced","none","54","73","69"
"female","group D","bachelor's degree","standard","completed","73","82","92"
"male","group C","some high school","standard","none","42","45","37"
"male","group B","some college","standard","completed","68","61","60"
"male","group B","high school","free/reduced","none","50","40","40"
"female","group C","some high school","free/reduced","none","48","54","54"
"male","group D","high school","standard","none","48","48","42"
"female","group B","high school","free/reduced","completed","48","74","68"
"male","group C","high school","standard","completed","71","68","67"
"female","group C","high school","standard","none","46","51","50"
"female","group E","some college","standard","none","69","75","74"
"male","group E","some college","free/reduced","completed","93","82","86"
"male","group C","some college","free/reduced","none","54","52","51"
"female","group C","some high school","standard","completed","70","67","68"
"female","group D","bachelor's degree","free/reduced","completed","75","81","89"
"male","group D","associate's degree","standard","none","77","66","66"
"female","group C","high school","standard","none","78","91","92"
"female","group D","bachelor's degree","free/reduced","completed","55","71","80"
"female","group E","associate's degree","free/reduced","none","73","75","79"
"female","group D","some college","standard","none","77","84","86"
"male","group B","associate's degree","free/reduced","none","42","44","39"
"female","group A","some high school","free/reduced","none","39","45","45"
"female","group B","associate's degree","standard","none","67","78","79"
"male","group D","some college","free/reduced","completed","62","54","50"
"male","group D","some college","free/reduced","completed","78","77","73"
"female","group C","some college","free/reduced","none","49","60","56"
"male","group B","master's degree","free/reduced","none","63","63","60"
"female","group B","some college","free/reduced","completed","61","70","69"
"male","group C","some college","standard","none","62","57","50"
"female","group C","some college","standard","none","82","93","94"
"female","group C","some college","standard","completed","78","79","82"
"male","group C","high school","standard","none","59","55","53"
"female","group C","associate's degree","free/reduced","none","79","88","82"
"male","group C","some college","free/reduced","completed","69","70","68"
"male","group C","master's degree","standard","completed","85","78","78"
"male","group C","some college","standard","none","82","77","70"
"male","group B","some high school","standard","completed","80","85","81"
"female","group E","high school","standard","none","61","63","64"
"female","group A","some college","standard","none","71","75","77"
"male","group C","some college","free/reduced","none","66","67","64"
"female","group E","high school","free/reduced","none","75","74","79"
"female","group C","some college","standard","none","72","75","77"
"female","group C","some college","free/reduced","none","71","79","74"
"male","group B","some college","free/reduced","completed","68","68","65"
"female","group D","some high school","standard","completed","74","84","90"
"female","group B","some college","standard","none","67","69","75"
"female","group C","some high school","free/reduced","completed","41","57","58"
"female","group D","some high school","standard","none","76","86","82"
"male","group E","high school","standard","completed","90","76","79"
"female","group D","some college","standard","none","66","73","76"
"male","group A","some high school","free/reduced","none","29","28","21"
"male","group D","master's degree","free/reduced","none","68","66","62"
"male","group E","master's degree","standard","none","78","70","66"
"male","group B","some college","standard","completed","74","70","72"
"male","group D","associate's degree","standard","none","66","58","57"
"male","group C","some high school","standard","completed","82","80","75"
"male","group C","some college","standard","none","51","57","54"
"female","group B","associate's degree","standard","none","50","62","59"
"female","group E","some high school","standard","completed","73","84","79"
"male","group D","high school","free/reduced","none","50","52","42"
"female","group B","master's degree","standard","none","62","74","71"
"male","group C","some college","standard","none","89","85","84"
"male","group E","master's degree","standard","none","84","79","73"
"male","group E","master's degree","standard","completed","97","88","88"
"male","group A","some college","standard","none","71","58","56"
"male","group D","some college","standard","none","73","66","66"
"female","group C","master's degree","standard","none","68","74","71"
"female","group D","high school","standard","completed","69","89","92"
"female","group B","master's degree","free/reduced","none","44","59","58"
"female","group C","some high school","standard","completed","59","82","74"
"female","group C","associate's degree","standard","completed","80","89","87"
"male","group C","high school","standard","none","74","64","56"
"female","group C","associate's degree","standard","none","36","36","36"
"female","group B","high school","standard","none","53","62","63"
"male","group C","high school","free/reduced","none","37","49","45"
"male","group C","associate's degree","free/reduced","none","74","69","70"
"female","group B","some college","standard","completed","72","82","82"
"male","group C","some college","standard","completed","62","57","56"
"female","group B","some high school","free/reduced","none","51","57","58"
"female","group A","master's degree","free/reduced","none","73","86","84"
"female","group B","some high school","standard","none","60","76","68"
"male","group C","associate's degree","free/reduced","completed","60","62","65"
"female","group D","some college","standard","completed","40","59","69"
"female","group C","bachelor's degree","free/reduced","none","36","53","49"
"male","group E","some high school","standard","none","55","39","37"
"female","group E","high school","standard","completed","80","74","77"
"female","group B","high school","free/reduced","none","47","48","52"
"female","group C","some college","free/reduced","none","38","36","36"
"female","group A","some college","standard","none","73","78","80"
"female","group C","high school","free/reduced","completed","21","39","40"
"female","group D","some college","standard","none","42","58","50"
"female","group C","high school","free/reduced","none","36","55","42"
"female","group B","associate's degree","standard","none","57","72","66"
"female","group E","some college","standard","none","59","76","75"
"male","group E","some college","free/reduced","none","78","68","63"
"female","group E","high school","standard","none","61","72","70"
"male","group D","some college","standard","completed","88","88","92"
"male","group C","master's degree","standard","none","70","76","74"
"male","group B","high school","standard","completed","53","58","57"
"male","group D","high school","standard","none","75","76","69"
"female","group D","high school","free/reduced","none","27","34","38"
"male","group C","some high school","standard","none","70","71","62"
"female","group D","some college","free/reduced","none","59","69","69"
"female","group E","some college","standard","none","92","100","91"
"male","group C","some college","standard","completed","83","87","84"
"female","group B","some college","standard","completed","44","53","55"
"male","group E","associate's degree","standard","none","55","46","42"
"female","group B","high school","standard","none","29","42","40"
"male","group B","some high school","standard","completed","60","61","59"
"male","group B","high school","standard","completed","51","46","46"
"female","group A","some college","standard","completed","82","82","93"
"female","group B","bachelor's degree","free/reduced","completed","46","49","54"
"male","group B","associate's degree","free/reduced","none","58","54","52"
"female","group E","some high school","standard","none","87","82","86"
"male","group D","high school","standard","completed","64","60","58"
"female","group E","some high school","free/reduced","completed","69","74","76"
"male","group D","associate's degree","standard","completed","95","86","84"
"female","group C","some high school","free/reduced","completed","59","73","73"
"female","group A","some high school","standard","none","71","94","92"
"female","group A","some college","standard","none","61","70","65"
"male","group E","master's degree","free/reduced","completed","100","96","100"
"female","group D","bachelor's degree","standard","none","78","86","81"
"male","group B","associate's degree","standard","none","73","72","67"
"female","group C","some high school","standard","none","65","73","70"
"male","group C","some college","standard","none","92","82","85"
"male","group E","some high school","standard","completed","85","71","62"
"male","group B","some high school","free/reduced","none","39","42","35"
"male","group B","some college","standard","none","72","66","57"
"male","group C","master's degree","standard","completed","86","73","80"
"female","group E","some college","standard","none","94","92","83"
"male","group D","some college","standard","none","79","67","67"
"female","group D","some high school","standard","none","48","49","50"
"male","group D","bachelor's degree","free/reduced","none","61","65","69"
"male","group D","high school","free/reduced","completed","64","57","57"
"female","group D","bachelor's degree","standard","none","58","61","59"
"female","group A","some high school","standard","completed","46","60","62"
"female","group E","some college","standard","none","81","87","82"
"male","group C","high school","standard","completed","71","63","71"
"male","group B","master's degree","standard","none","84","78","77"
"male","group C","some college","standard","none","67","61","54"
"female","group C","high school","free/reduced","none","56","76","70"
"male","group D","high school","standard","none","82","70","74"
"male","group A","some college","standard","completed","64","68","63"
"female","group D","master's degree","standard","completed","75","94","97"
"male","group D","some high school","free/reduced","completed","55","58","58"
"male","group C","high school","standard","completed","73","77","72"
"female","group B","associate's degree","standard","none","53","70","69"
"male","group C","some high school","standard","none","92","82","82"
"male","group C","associate's degree","standard","none","73","77","76"
"female","group C","bachelor's degree","free/reduced","completed","68","81","82"
"female","group B","associate's degree","standard","none","51","59","59"
"female","group C","high school","free/reduced","completed","52","82","78"
"female","group C","some high school","standard","none","61","72","61"
"male","group B","some college","standard","completed","70","64","67"
"male","group E","bachelor's degree","standard","completed","85","77","74"
"male","group E","some high school","free/reduced","none","72","64","59"
"female","group D","high school","standard","completed","72","79","75"
"male","group E","associate's degree","free/reduced","none","68","62","56"
"female","group E","associate's degree","standard","none","76","87","82"
"male","group D","some college","standard","none","45","54","51"
"female","group D","associate's degree","free/reduced","none","57","70","65"
"female","group D","some high school","free/reduced","completed","68","86","88"
"female","group D","associate's degree","standard","completed","98","91","99"
"male","group C","some high school","standard","completed","62","60","64"
"male","group C","some college","free/reduced","none","63","65","59"
"male","group B","associate's degree","free/reduced","completed","61","66","66"
"female","group D","some college","free/reduced","completed","72","80","84"
"female","group D","high school","standard","none","75","89","89"
"female","group B","associate's degree","free/reduced","none","59","70","67"
"male","group C","associate's degree","standard","none","65","61","61"
"female","group C","some college","free/reduced","completed","68","83","86"
"female","group A","bachelor's degree","free/reduced","none","52","71","67"
"female","group D","some high school","standard","none","54","65","68"
"female","group C","some college","standard","completed","78","98","90"
"male","group D","master's degree","standard","none","65","65","64"
"female","group E","high school","free/reduced","completed","67","84","80"
"female","group E","associate's degree","standard","completed","76","86","88"
"female","group D","some college","standard","none","66","69","67"
"female","group D","master's degree","free/reduced","none","61","77","76"
"male","group C","some high school","standard","completed","82","72","73"
"male","group D","master's degree","standard","completed","100","93","96"
"male","group B","some college","free/reduced","none","68","59","51"
"female","group E","some college","standard","completed","100","100","100"
"male","group C","high school","free/reduced","completed","71","79","73"
"male","group B","bachelor's degree","standard","completed","93","97","90"
"female","group E","bachelor's degree","standard","completed","96","100","100"
"female","group C","some college","standard","none","41","60","55"
"female","group B","some high school","standard","none","82","88","80"
"female","group C","some high school","standard","none","68","67","67"
"male","group B","some high school","standard","none","52","39","35"
"male","group D","bachelor's degree","standard","none","69","64","69"
"female","group B","master's degree","standard","completed","86","96","100"
"male","group A","some college","free/reduced","completed","58","66","63"
"male","group B","high school","free/reduced","completed","55","55","46"
"male","group C","some college","standard","none","48","51","45"
"female","group B","high school","standard","completed","89","95","95"
"female","group B","associate's degree","standard","none","66","69","69"
"male","group D","associate's degree","standard","none","62","64","54"
"male","group D","bachelor's degree","standard","none","70","71","66"
"female","group D","master's degree","standard","completed","74","81","92"
"female","group B","some college","standard","none","54","63","67"
"male","group C","master's degree","standard","none","100","94","88"
"female","group D","some high school","standard","completed","53","64","70"
"male","group A","some college","free/reduced","none","36","45","35"
"female","group D","high school","standard","completed","85","73","81"
"female","group D","master's degree","free/reduced","completed","77","82","88"
"male","group A","high school","free/reduced","completed","57","60","58"
"female","group D","some college","standard","none","55","71","71"
"male","group E","some college","standard","none","82","75","69"
"male","group C","some high school","standard","completed","81","86","79"
"male","group E","associate's degree","standard","none","79","74","69"
"female","group A","some high school","standard","none","59","62","62"
"male","group D","some high school","standard","none","72","70","71"
"male","group C","high school","standard","completed","47","44","42"
"female","group D","high school","standard","completed","75","67","78"
"female","group B","some college","standard","none","69","73","71"
"male","group D","high school","standard","completed","67","70","67"
"male","group C","associate's degree","free/reduced","completed","66","76","69"
"female","group D","some high school","standard","completed","82","85","86"
"male","group E","associate's degree","standard","none","100","86","86"
"male","group C","high school","free/reduced","completed","60","61","62"
"female","group C","some high school","free/reduced","completed","58","70","74"
"male","group B","master's degree","standard","none","84","68","71"
"female","group C","some college","standard","none","69","76","71"
"female","group D","master's degree","standard","none","67","74","80"
"male","group C","high school","free/reduced","none","50","54","43"
"male","group C","bachelor's degree","standard","none","69","79","75"
"male","group E","some college","free/reduced","completed","53","41","36"
"male","group C","associate's degree","standard","completed","61","65","68"
"female","group C","associate's degree","standard","none","64","63","64"
"female","group B","some college","standard","completed","82","91","96"
"male","group B","high school","standard","completed","70","68","67"
"male","group C","some high school","free/reduced","none","56","46","47"
"male","group B","high school","standard","none","50","47","48"
"female","group B","high school","standard","none","42","51","48"
"female","group C","some college","standard","none","81","85","79"
"female","group D","some high school","free/reduced","completed","59","67","65"
"female","group C","some college","standard","completed","82","90","90"
"male","group C","associate's degree","free/reduced","none","73","75","72"
"male","group A","high school","standard","none","64","59","51"
"female","group C","some college","standard","completed","44","48","53"
"female","group C","some high school","standard","none","36","35","37"
"male","group B","some high school","standard","none","82","79","78"
"male","group B","some high school","free/reduced","completed","35","31","34"
"male","group A","master's degree","standard","completed","93","88","89"
"female","group B","associate's degree","free/reduced","none","47","57","61"
"female","group A","high school","standard","completed","66","78","80"
"male","group E","high school","standard","completed","65","60","60"
"male","group D","some high school","standard","none","52","49","50"
"male","group D","high school","free/reduced","none","53","44","50"
"male","group E","associate's degree","free/reduced","none","77","75","76"
"female","group E","some high school","standard","completed","76","77","75"
"female","group C","bachelor's degree","standard","none","71","79","78"
"male","group D","some college","standard","none","65","69","63"
"female","group D","master's degree","standard","completed","58","67","76"
"male","group A","high school","standard","none","66","57","50"
"male","group C","some college","standard","none","58","48","52"
"female","group E","high school","standard","completed","100","100","100"
"male","group C","high school","standard","none","86","84","79"
"female","group D","associate's degree","standard","none","53","65","68"
"male","group D","associate's degree","standard","none","62","45","51"
"female","group C","master's degree","standard","none","81","93","89"
"male","group E","some college","standard","none","84","67","60"
"female","group C","some high school","standard","none","86","97","88"
"male","group B","master's degree","standard","none","93","84","80"
"male","group B","high school","standard","none","72","64","65"
"male","group C","associate's degree","free/reduced","completed","74","68","71"
"female","group C","some college","standard","none","73","81","76"
"female","group B","some high school","free/reduced","none","64","79","74"
"male","group C","bachelor's degree","standard","completed","87","85","88"
"female","group D","high school","standard","completed","52","62","66"
"female","group C","associate's degree","free/reduced","none","64","77","71"
"female","group D","some high school","standard","completed","68","65","73"
"female","group B","bachelor's degree","free/reduced","completed","74","85","85"
"female","group D","associate's degree","standard","none","60","61","60"
"male","group B","some college","standard","completed","85","89","88"
"female","group E","master's degree","standard","completed","97","100","100"
"female","group D","some high school","standard","none","77","83","80"
"male","group A","associate's degree","standard","completed","54","57","54"
"male","group A","bachelor's degree","free/reduced","none","62","65","62"
"male","group C","associate's degree","free/reduced","none","46","42","41"
"female","group B","associate's degree","free/reduced","none","62","75","68"
"female","group D","high school","free/reduced","none","78","87","82"
"male","group B","associate's degree","free/reduced","completed","87","93","89"
"female","group A","master's degree","standard","none","83","86","87"
"female","group D","associate's degree","free/reduced","none","68","72","79"
"male","group E","some college","free/reduced","completed","77","72","77"
"male","group B","some college","standard","none","50","41","44"
"male","group C","some college","standard","none","68","65","57"
