"sex","parental_level_of_education","lunch","test_preparation_course","math_score","reading_score","writing_score","id","parent_income","school_location","school_type","race","el_status","home_language","grade","age","close_friends","trusted_adult","mental_health","stress_rating","belonging","ses_score","alcohol_use","marijuana_use","siblings","pets"
"female","high school","Reduced","completed",76.9819861786676,73.4546936870596,60.9274011954517,26,35812.4092791655,"Urban","Public","Latine","not EL","English",7,12,4,1,"fair",9,"mostly unwelcome",4.27,0,0,4,0
"female","high school","Free","completed",65.0189293310932,63.4872905862587,51.9556518414242,27,31658.1937241725,"Urban","Public","Asian","not EL","English",8,13,3,1,"poor",3,"welcome half the time",2.64,0,0,0,0
"male","associate's degree","Standard","none",82.3575282402114,78.7860543295983,65.2145804189852,28,49857.3695530656,"Suburban","Public","Black","not EL","English",8,14,3,0,"poor",10,"very welcome",7.55,0,0,4,2
"male","associate's degree","Reduced","none",43.8356797805993,39.2667762769994,37.6978727733995,29,38644.666735098,"Rural","Charter","Latine","not EL","English",6,11,4,0,"good",7,"mostly unwelcome",5.91,0,0,3,0
"male","bachelor's degree","Standard","none",60.5245098880383,53.9922146070926,50.459919326147,30,51495.7416742774,"Urban","Public","Latine","not EL","English",6,12,3,1,"very good",6,"welcome half the time",9.18,0,0,2,0
"female","master's degree","Standard","completed",36.8033361997075,38.0029437056243,30.202551211541,31,76929.3275884006,"Urban","Public","Black","not EL","English",7,13,2,1,"very good",5,"very welcome",10,0,0,1,0
"female","high school","Free","none",41.1628611367283,36.9084068853485,35.6539526339687,32,32167.3383632499,"Suburban","Public","Latine","EL","English",6,12,3,0,"excellent",3,"welcome half the time",2.64,1,0,0,0
"male","some college","Free","none",87.6171143435689,82.838630303149,69.0601462627291,33,18486.7417038125,"Urban","Public","White","not EL","English",7,13,4,1,"poor",10,"mostly welcome",3.45,0,0,4,0
"male","master's degree","Standard","none",76.4505458032071,73.5740110028298,60.6974762024525,34,84382.6740018866,"Urban","Public","Black","not EL","English",8,13,1,1,"very good",5,"mostly welcome",10,0,0,1,1
"female","some college","Reduced","none",48.4888772257087,43.3725387285665,41.2562002314243,35,35633.5964931067,"Urban","Public","White","not EL","English",6,12,5,1,"very good",5,"welcome half the time",5.09,0,0,1,0
"female","associate's degree","Reduced","none",72.636283166695,69.6202498529662,57.6042165392374,36,44121.3225109213,"Rural","Charter","Black","not EL","English",7,13,3,0,"poor",9,"mostly unwelcome",5.91,0,0,4,0
"female","some college","Free","completed",57.5083718157864,56.272092778635,46.0358137414837,37,28281.1195856214,"Urban","Public","White","EL","Spanish",7,12,3,1,"good",8,"mostly welcome",3.45,0,0,3,0
"female","associate's degree","Free","completed",41.3423802767346,42.5962178912364,33.8500555057382,38,25730.8119274909,"Urban","Public","White","not EL","English",8,14,3,1,"poor",3,"very unwelcome",4.27,0,0,0,0
"female","some college","Reduced","none",87.5678893645044,82.7951964980921,69.0225036316798,39,44457.6576533164,"Urban","Public","Black","not EL","English",7,13,0,1,"good",8,"very welcome",5.09,0,0,3,1
"female","high school","Free","completed",53.9161773287967,53.6907447018794,43.4653120749622,40,25127.1631345863,"Suburban","Public","Asian","not EL","English",8,14,3,1,"good",8,"very welcome",2.64,0,0,3,0
"female","some high school","Free","none",46.8926758347384,41.9641257365339,40.0355756383294,41,26988.6855496725,"Suburban","Public","Latine","EL","Spanish",6,12,3,0,"good",8,"very welcome",1,0,0,3,0
"male","some high school","Free","none",64.4647387692104,57.4688871493033,53.4730355293962,42,31596.0011298333,"Urban","Public","Asian","not EL","English",6,11,3,1,"very good",5,"very welcome",1,0,0,1,1
"female","bachelor's degree","Standard","none",49.5585401427227,44.3163589494612,42.0741777561997,43,50577.2670143784,"Urban","Public","White","not EL","English",6,12,3,1,"excellent",7,"very unwelcome",9.18,0,0,0,0
"male","some college","Free","completed",65.2652032136047,63.11635577671,51.9675083398154,44,30629.7978985427,"Urban","Public","Black","not EL","English",7,13,3,1,"very good",6,"very welcome",3.45,0,0,2,0
"female","high school","Reduced","none",65.5523550698994,63.3697250616759,52.1870950534525,45,42532.9330792441,"Urban","Public","2 or more","not EL","English",7,13,4,1,"good",7,"mostly welcome",4.27,0,0,3,2
"male","master's degree","Standard","none",73.7999793137884,70.6470405709898,58.4941018281912,46,95435.0545861133,"Rural","Charter","2 or more","EL","English",7,12,5,0,"good",7,"very welcome",10,0,0,3,3
"female","some high school","Free","none",71.0525304872782,68.2228210181867,56.3931115490951,47,30670.3640592085,"Urban","Public","Latine","not EL","English",7,13,5,1,"very good",5,"very welcome",1,1,0,1,1
"male","associate's degree","Reduced","none",63.4311877372067,56.5569303563588,52.682672975511,48,47709.9105546006,"Urban","Public","Black","not EL","English",6,11,1,1,"very good",5,"mostly welcome",5.91,1,0,1,1
"female","bachelor's degree","Standard","none",44.494539890253,39.8481234325761,38.2017069748993,49,64703.5819936306,"Rural","Charter","Black","not EL","English",6,12,3,0,"good",8,"very welcome",9.18,0,0,3,1
"female","some college","Standard","completed",38.3570421971822,34.4326842916313,33.5083263860805,50,50906.0168881404,"Rural","Charter","Black","not EL","English",6,11,3,0,"very good",5,"very welcome",6.73,0,0,1,3
"male","high school","Reduced","completed",56.9359944716385,55.7670539455634,45.5981134194883,51,41955.6276248687,"Suburban","Public","White","not EL","English",7,13,5,0,"good",8,"mostly welcome",4.27,0,0,3,2
"male","some college","Free","none",64.4772143773163,57.4798950388085,53.4825757003007,52,27429.0866683807,"Suburban","Public","White","EL","French",6,12,3,1,"good",6,"mostly welcome",3.45,0,0,2,0
"female","high school","Reduced","completed",78.215557918393,75.1313746338762,62.0471913493594,53,39420.9164225841,"Urban","Public","2 or more","EL","Spanish",8,14,5,1,"good",6,"very welcome",4.27,0,0,2,1
"male","associate's degree","Free","none",23.4437865082033,26.80334103665,20.1628955650966,54,15202.2273577666,"Urban","Public","Latine","EL","English",8,14,4,1,"excellent",4,"very welcome",4.27,0,0,0,0
"male","high school","Free","completed",61.7754440906684,60.6253918447074,49.4753395987464,55,29750.2612298049,"Urban","Public","Asian","not EL","English",8,14,2,1,"excellent",4,"welcome half the time",2.64,0,0,0,0
"female","high school","Reduced","none",47.8317640050294,42.7927329456141,40.7537018861989,56,36154.2918868332,"Urban","Public","Latine","not EL","English",6,12,4,1,"good",7,"mostly welcome",4.27,0,0,3,0
"male","associate's degree","Standard","completed",86.7747455432223,82.6835990087256,68.5924524742288,57,52455.7326724837,"Suburban","Public","Latine","not EL","English",8,14,3,0,"very good",6,"welcome half the time",7.55,0,0,2,2
"male","some college","Reduced","none",80.8009434029691,77.4125971202668,64.0242508375646,58,43941.7314135112,"Suburban","Public","Latine","not EL","English",8,13,4,0,"very good",5,"very welcome",5.09,0,0,2,1
"male","high school","Free","completed",76.3109475395216,67.9214242995779,62.5319010596342,59,19424.2684009803,"Urban","Public","White","not EL","English",6,12,4,1,"very good",5,"very welcome",2.64,0,0,2,0
"female","some college","Reduced","completed",83.1271443271788,78.8768920533931,65.6266397796073,60,35501.0284524806,"Suburban","Public","White","not EL","English",7,13,3,0,"good",6,"mostly unwelcome",5.09,0,0,2,0
"male","bachelor's degree","Standard","none",84.3804681779843,79.9827660393979,66.5850639008115,61,58812.570707097,"Urban","Public","White","not EL","English",7,13,3,1,"very good",6,"very unwelcome",9.18,1,0,2,0
"female","bachelor's degree","Standard","none",53.8392107560966,48.0934212553793,45.3476317546621,62,64743.6219721346,"Urban","Public","Black","EL","Other",6,11,4,1,"fair",1,"very unwelcome",9.18,0,0,4,1
"female","some college","Free","completed",75.5959464749929,72.2317174779349,59.8674884808769,63,23069.0841092656,"Urban","Public","2 or more","not EL","English",7,13,3,1,"good",6,"very welcome",3.45,0,0,2,0
"female","high school","Reduced","none",80.6601053421397,77.2883282430644,63.9165511439892,64,40858.8854953763,"Urban","Public","White","not EL","English",8,13,2,1,"very good",5,"welcome half the time",4.27,0,0,1,1
"female","bachelor's degree","Reduced","none",43.5151056877912,44.5133285480511,35.511551408311,65,43008.8856987007,"Rural","Public","Latine","EL","English",8,13,4,0,"very good",5,"very welcome",7.55,0,0,1,0
"female","some college","Standard","none",76.3566573168545,72.9029329266363,60.4492085364182,66,51428.0198583638,"Urban","Public","2 or more","not EL","English",7,12,3,1,"very good",5,"very welcome",6.73,1,0,1,3
"female","some college","Free","completed",57.2756444708596,56.0667451213467,45.8578457718338,67,31921.3566993812,"Urban","Public","White","not EL","English",7,13,2,1,"good",7,"welcome half the time",3.45,0,0,3,0
"male","some college","Reduced","none",64.5956368059057,63.1137971816815,51.6319575574573,68,34409.198121121,"Urban","Public","2 or more","not EL","English",8,14,3,1,"good",6,"mostly welcome",5.09,0,0,2,0
"male","high school","Free","completed",64.6778435346613,62.5980972364659,51.5183509382704,69,32990.0924300557,"Rural","Charter","Asian","not EL","English",7,12,3,0,"good",6,"very welcome",2.64,0,0,2,0
"male","some college","Reduced","completed",56.0594704922627,50.0524739637612,47.0454774352597,70,37692.3528674074,"Rural","Charter","White","not EL","English",6,12,2,0,"good",8,"very welcome",5.09,0,0,3,0
"male","associate's degree","Free","none",83.68627932089,79.3702464596088,66.0542135983276,71,30839.0848447449,"Urban","Public","Latine","not EL","English",7,13,1,1,"good",8,"mostly unwelcome",4.27,0,0,3,0
"male","bachelor's degree","Standard","none",61.0124538134204,59.3639298353709,48.7154058573214,72,66993.6346059478,"Urban","Public","White","not EL","English",7,13,3,1,"very good",5,"mostly welcome",9.18,0,0,1,2
"male","bachelor's degree","Standard","none",99.9990062619365,94.3520643487675,78.7051224355985,73,76234.709565845,"Urban","Public","Latine","not EL","English",8,13,4,1,"very good",5,"very welcome",9.18,1,0,1,4
"female","associate's degree","Reduced","completed",62.866596820299,61.5881736649697,50.3097505096404,74,38392.1157766464,"Urban","Public","2 or more","not EL","English",8,14,4,1,"fair",9,"mostly unwelcome",5.91,1,0,4,0
"female","bachelor's degree","Standard","completed",57.2848525988891,56.0748699401962,45.8648872815034,75,61447.1245049805,"Urban","Public","Latine","not EL","English",7,13,3,1,"very good",5,"very welcome",9.18,0,0,1,1
"male","some college","Free","none",57.6957207373455,51.4962241800107,48.296727622676,76,27365.3375469845,"Urban","Public","Black","not EL","English",6,12,3,1,"very good",5,"very welcome",3.45,0,0,1,0
"male","associate's degree","Reduced","none",91.6235767644946,81.4325677333776,74.2415587022606,77,45629.9413582926,"Urban","Public","White","EL","French",6,11,3,1,"excellent",4,"very welcome",5.91,0,0,0,1
"male","associate's degree","Reduced","none",35.1779445329607,31.6275981173183,31.0772517016758,78,38416.0657751915,"Rural","Public","Latine","not EL","English",6,12,3,0,"fair",9,"welcome half the time",5.91,0,0,4,0
"male","associate's degree","Standard","none",53.8430217095667,53.0379603319706,43.2328989543745,79,51000.069904261,"Suburban","Public","Latine","EL","Other",7,13,1,1,"very good",5,"very welcome",7.55,0,0,1,2
"male","some college","Free","none",44.2711898442608,45.1804616272889,36.089733410317,80,22453.6410848593,"Urban","Public","Latine","EL","English",8,14,3,1,"good",6,"very welcome",3.45,0,0,2,0
"male","some high school","Free","none",69.5536430835897,67.4885086031674,55.4233741227451,81,28325.6724021116,"Urban","Public","2 or more","not EL","English",8,14,4,1,"good",6,"welcome half the time",1,0,0,2,0
"female","associate's degree","Reduced","completed",55.3319767646821,54.3517442041313,44.3715116435805,82,48521.4857788523,"Urban","Public","White","not EL","English",7,13,3,1,"very good",6,"very welcome",5.91,0,0,2,1
"female","associate's degree","Reduced","completed",71.1935833769876,68.3472794502832,56.5009755235787,83,36232.9714733282,"Urban","Public","Asian","not EL","English",7,13,3,1,"good",7,"mostly welcome",5.91,0,0,3,0
"female","associate's degree","Reduced","none",56.9240547539957,56.3447541947021,45.7654536354085,84,34896.5027964681,"Suburban","Public","2 or more","not EL","English",8,13,5,0,"good",8,"very welcome",5.91,0,0,3,0
"male","high school","Reduced","completed",53.5341730928179,47.8242703760158,45.1143676592137,85,34419.7357967518,"Suburban","Public","2 or more","EL","English",6,12,2,1,"very good",5,"very welcome",4.27,0,0,1,0
"female","high school","Reduced","none",93.9625361876258,89.0257672243757,74.0889982611256,86,48683.8448162505,"Suburban","Public","Latine","not EL","English",8,14,3,0,"good",8,"very welcome",4.27,0,0,3,3
"male","master's degree","Standard","completed",64.6422107612746,62.5666565540658,51.491102346857,87,86665.641196527,"Urban","Public","Latine","not EL","English",7,12,2,1,"very good",5,"very welcome",10,0,0,2,1
"female","high school","Reduced","none",68.7156902257533,66.1609031403706,54.6061160549878,88,41200.4997215404,"Suburban","Public","Black","EL","Other",7,13,4,0,"good",6,"very welcome",4.27,1,0,2,1
"male","associate's degree","Reduced","none",55.9393333205701,49.9464705769736,46.9536078333771,89,40232.211949301,"Rural","Public","White","not EL","English",6,12,2,0,"excellent",4,"mostly welcome",5.91,1,0,0,0
"male","high school","Free","none",37.4136633947506,39.1297029953681,30.8457425959857,90,15419.8019969121,"Rural","Charter","White","not EL","English",8,13,2,0,"good",6,"welcome half the time",2.64,0,0,2,0
"male","some high school","Free","none",78.2763522875034,74.59678143015,61.9172105727967,91,30697.9508157406,"Rural","Charter","Latine","not EL","English",7,12,4,0,"fair",9,"very welcome",1,0,0,4,1
"male","some college","Reduced","none",79.2427121234003,75.4494518735885,62.6561916237767,92,38422.514100244,"Urban","Public","Latine","not EL","English",7,12,3,1,"very good",5,"mostly welcome",5.09,0,0,1,0
"female","some high school","Free","completed",69.1278150423425,66.5245426844199,54.9212703264972,93,18681.4460125405,"Rural","Charter","Asian","not EL","English",7,13,3,0,"good",8,"mostly welcome",1,0,0,3,0
"female","some college","Reduced","completed",35.3875216007092,31.8125190594493,31.2375165181894,94,44331.5084652004,"Suburban","Public","Latine","not EL","English",6,12,2,0,"good",8,"very welcome",5.09,0,0,3,1
"female","associate's degree","Reduced","none",67.6199315366181,60.2528807676042,55.8858299985903,95,36487.882565407,"Urban","Public","White","not EL","English",6,12,4,1,"excellent",4,"mostly welcome",5.91,0,0,0,0
"female","high school","Free","none",35.9387124384382,37.2400403868572,29.5413683352763,96,19094.4050785743,"Suburban","Public","Asian","not EL","English",7,12,5,1,"very good",6,"very welcome",2.64,0,0,2,0
"female","bachelor's degree","Standard","none",62.361737547114,61.1427096003947,49.9236816536754,97,54095.1397335965,"Suburban","Public","Latine","not EL","English",8,14,3,1,"excellent",4,"mostly welcome",9.18,0,0,0,0
"male","master's degree","Standard","none",62.3024354882568,60.5021489602266,49.7018624321964,98,72175.6186363501,"Urban","Public","Black","not EL","English",7,13,1,1,"poor",9,"very welcome",10,1,0,4,0
"male","high school","Reduced","none",72.8968808464775,69.850188982186,57.8034971178945,99,45243.0285765541,"Suburban","Public","White","not EL","English",7,12,3,1,"fair",9,"very welcome",4.27,0,0,4,2
"male","bachelor's degree","Standard","none",83.5508312673426,74.3095570005964,68.0682827338502,100,52229.7984662182,"Urban","Public","White","not EL","English",6,11,4,1,"very good",5,"very welcome",9.18,0,0,2,0
"male","some college","Reduced","none",25.5867994139681,23.1648230123248,23.7428466106815,101,36335.6430777087,"Rural","Charter","2 or more","EL","Other",6,12,3,0,"excellent",4,"very welcome",5.09,0,0,0,0
"male","associate's degree","Free","none",35.2582493689204,31.698455325518,31.1386612821156,102,25084.4271828785,"Urban","Public","White","not EL","English",6,12,4,1,"very good",5,"very welcome",4.27,0,0,1,0
"female","bachelor's degree","Standard","completed",22.2570667076326,20.2268235655582,21.1965804234838,103,57479.9379964144,"Urban","Public","White","not EL","English",6,11,3,1,"very good",5,"very welcome",9.18,0,0,1,0
"male","bachelor's degree","Standard","none",44.6491626077749,44.9257317127426,36.2023008177103,104,66244.3976184132,"Suburban","Public","White","not EL","English",7,13,4,0,"very good",6,"very welcome",9.18,1,0,2,2
"male","associate's degree","Reduced","none",79.3775901606984,76.1566972006162,62.9358042405341,105,48104.4648004108,"Rural","Charter","Latine","not EL","English",8,14,4,0,"excellent",7,"mostly welcome",5.91,1,0,0,1
"female","some high school","Free","none",64.3212592182919,62.8716993102576,51.4221394022232,106,25247.7995401717,"Suburban","Public","Black","not EL","English",8,14,4,0,"good",6,"very welcome",1,0,0,2,0
"male","some high school","Free","none",34.1784715229513,30.7457101673099,30.3129488116686,107,20904.5791080992,"Suburban","Public","White","not EL","English",6,12,4,0,"very good",5,"very welcome",1,0,1,1,0
"male","some college","Reduced","completed",35.1582474457084,31.6102183344485,31.0621892231887,108,35477.9886343842,"Urban","Public","White","not EL","English",6,11,3,1,"excellent",4,"very welcome",5.09,0,0,0,0
"female","some high school","Free","none",76.5399295706198,73.6528790328999,60.7658284951799,109,32435.2526885999,"Urban","Public","Latine","EL","English",8,14,3,1,"very good",6,"very welcome",1,0,0,2,1
"female","high school","Free","completed",100,97.2416170306482,81.5427347598951,110,28246.8746484824,"Suburban","Public","White","not EL","English",7,12,4,0,"very good",5,"mostly welcome",2.64,1,0,1,0
"female","some high school","Free","none",67.0421720437138,64.6842694503357,53.3263668569576,111,30936.5914851755,"Rural","Charter","White","not EL","English",7,13,4,0,"good",8,"mostly welcome",1,0,0,3,1
"female","associate's degree","Reduced","none",45.4926170212486,45.6699561952194,36.8472953691901,112,34182.602033695,"Urban","Public","Asian","not EL","English",7,13,4,1,"excellent",4,"mostly welcome",5.91,0,0,0,0
"female","high school","Reduced","none",58.7913583147158,52.4629632188668,49.1345681230179,113,36537.7470643437,"Urban","Public","Latine","EL","Spanish",6,11,3,1,"poor",3,"welcome half the time",4.27,0,0,0,1
"female","associate's degree","Standard","none",84.7532678618468,80.8999422310413,67.0466166002358,114,51266.6281540276,"Urban","Public","White","not EL","English",8,14,2,1,"very good",5,"mostly welcome",7.55,0,0,1,2
"male","associate's degree","Reduced","completed",57.1462061425542,51.0113583610772,47.8765105796002,115,40145.1666145446,"Suburban","Public","White","not EL","English",6,12,4,1,"excellent",4,"mostly welcome",5.91,0,0,0,0
"male","some high school","Free","none",57.7802755332139,57.1002431175417,46.4202107018695,116,21400.1620783611,"Suburban","Public","Black","not EL","English",8,13,5,1,"very good",6,"very welcome",1,0,0,2,0
"female","bachelor's degree","Standard","none",77.376822171472,73.803078386593,61.2293346017139,117,58353.4958393086,"Suburban","Public","Black","not EL","English",7,12,3,0,"very good",5,"very welcome",9.18,0,0,1,0
"male","some high school","Free","completed",31.6599540644772,33.4646653510093,26.2693766375414,118,18628.8434969283,"Urban","Public","White","not EL","English",7,12,4,1,"very good",6,"very welcome",1,0,0,2,0
"female","some high school","Reduced","none",48.5115662568777,43.3925584619509,41.2735506670241,119,45254.7177888789,"Suburban","Public","Latine","not EL","English",6,12,2,1,"good",6,"very welcome",2.64,0,0,2,3
"female","some college","Free","none",60.5666352092627,58.9705604787612,48.3744857482597,120,30088.0347266186,"Urban","Public","Latine","not EL","English",7,13,2,1,"very good",5,"very welcome",3.45,0,0,1,0
"female","some high school","Reduced","none",69.4747086089432,66.8306252431852,55.1865418774272,121,37441.5007873265,"Urban","Public","Latine","EL","Other",7,13,4,1,"good",8,"very welcome",2.64,0,0,3,2
"male","high school","Reduced","none",80.5723779765183,77.2109217439867,63.8494655114552,122,40807.2811626578,"Rural","Charter","White","not EL","English",8,14,3,0,"poor",3,"mostly welcome",4.27,0,0,0,1
"female","high school","Reduced","none",36.8017845571566,38.0015746092558,30.201364661355,123,43340.6617658452,"Suburban","Public","White","not EL","English",7,12,3,0,"excellent",4,"mostly welcome",4.27,0,0,0,2
"male","some college","Free","none",89.3971909248174,84.409286110133,70.4213812954486,124,31722.7129814978,"Urban","Public","Latine","not EL","English",7,13,3,1,"good",6,"mostly unwelcome",3.45,0,0,2,0
"male","some college","Free","completed",37.6035582518059,38.7090219868876,30.8144857219692,125,26727.2139430584,"Suburban","Public","Latine","EL","Spanish",7,13,3,1,"very good",5,"mostly welcome",3.45,0,0,1,0
"female","bachelor's degree","Standard","none",81.69279457719,78.1995246269323,64.7062546766747,126,65466.3497512882,"Urban","Public","Asian","EL","Chinese",8,13,2,1,"excellent",4,"mostly welcome",9.18,1,0,0,1
"male","some college","Free","none",79.0837372462551,75.3091799231663,62.5346226000774,127,25851.3431184513,"Urban","Public","Latine","EL","English",7,12,3,1,"excellent",4,"very welcome",3.45,0,0,0,0
"female","some high school","Free","none",74.5923212687511,71.9344011194863,59.2764809702214,128,31289.6007463242,"Urban","Public","Latine","not EL","English",8,13,3,1,"good",6,"very welcome",1,1,0,2,1
"male","associate's degree","Reduced","none",55.9313133129648,54.880570570263,44.8298278275613,129,43238.5258405078,"Suburban","Public","2 or more","not EL","English",7,12,3,0,"very good",5,"welcome half the time",5.91,0,0,1,0
"female","master's degree","Standard","none",48.2199839282936,48.6646917014355,39.1093994745774,130,67776.4611342903,"Urban","Public","White","not EL","English",8,13,2,1,"good",8,"mostly unwelcome",10,1,0,3,0
"male","associate's degree","Reduced","none",68.9453775261328,66.951803699529,54.9582298729251,131,41967.8691330193,"Urban","Public","Black","not EL","English",8,13,4,1,"poor",9,"very welcome",5.91,0,0,4,0
"male","some high school","Reduced","completed",73.1172506561413,70.0446329318894,57.9720152076375,132,37797.1860105168,"Rural","Charter","White","not EL","English",7,13,2,0,"good",8,"mostly welcome",2.64,0,0,3,2
"female","some high school","Free","completed",95.6773781602044,89.9506277884156,75.2238774166269,133,23580.6448576166,"Urban","Public","Asian","not EL","English",7,12,2,1,"very good",6,"very welcome",1,0,0,2,0
"male","bachelor's degree","Standard","completed",56.3834384274935,50.338328024259,47.2932176210244,134,50991.7396100667,"Urban","Public","Asian","not EL","English",6,12,3,1,"good",8,"welcome half the time",9.18,0,0,3,0
"female","some high school","Reduced","none",100,95.6202419468602,79.8042096872789,135,47080.1612979068,"Urban","Public","White","not EL","English",8,14,2,1,"very good",6,"mostly welcome",2.64,0,0,2,4
"male","some high school","Free","none",40.5344434540318,41.2950971653222,33.0557508766126,136,20541.5342819215,"Urban","Public","White","not EL","English",7,13,4,1,"very good",5,"very welcome",1,0,0,1,0
"female","associate's degree","Free","none",62.0566892932886,60.2853140823135,49.5139388713383,137,20002.4152610215,"Suburban","Public","White","not EL","English",7,12,2,1,"good",6,"mostly unwelcome",4.27,0,0,2,0
"female","some college","Free","completed",57.2694916984783,56.0613162045397,45.853140710601,138,27568.1336990572,"Urban","Public","2 or more","not EL","English",7,13,3,1,"very good",5,"very welcome",3.45,0,0,1,0
"female","high school","Reduced","none",75.8882088419646,73.0778313311453,60.2674538203259,139,38051.8875540968,"Urban","Public","2 or more","EL","Spanish",8,14,4,1,"good",8,"very welcome",4.27,0,0,3,1
"female","high school","Standard","completed",68.0279389051305,60.6128872692328,56.1978356333351,140,56703.3743667636,"Suburban","Public","Latine","not EL","English",6,12,3,1,"good",8,"very welcome",5.91,0,0,3,5
