"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group A","high school","standard","completed","52","58","60"
"male","group D","associate's degree","standard","none","77","67","72"
"female","group C","associate's degree","standard","completed","94","96","100"
"male","group E","associate's degree","standard","none","94","91","92"
"male","group A","bachelor's degree","free/reduced","none","59","57","58"
"female","group E","high school","standard","none","90","100","96"
"female","group A","high school","free/reduced","none","49","63","62"
"male","group B","associate's degree","standard","completed","56","54","49"
"female","group C","some college","free/reduced","none","63","81","73"
"male","group C","bachelor's degree","free/reduced","none","56","54","53"
"male","group C","associate's degree","standard","completed","55","47","52"
"male","group C","bachelor's degree","standard","none","74","76","76"
"female","group C","associate's degree","standard","none","49","57","59"
"male","group C","bachelor's degree","standard","none","96","76","79"
"female","group B","some college","free/reduced","none","39","65","63"
"female","group E","bachelor's degree","standard","completed","88","94","92"
"male","group B","associate's degree","standard","none","79","76","73"
"male","group B","bachelor's degree","free/reduced","none","43","42","45"
"female","group C","some college","standard","none","91","97","99"
"male","group E","some college","standard","none","98","87","91"
"female","group E","high school","standard","completed","75","78","78"
"female","group C","associate's degree","free/reduced","none","43","63","58"
"male","group B","high school","free/reduced","none","54","56","54"
"male","group B","some high school","standard","none","44","51","38"
"female","group D","some college","standard","none","82","75","78"
"female","group B","some high school","free/reduced","completed","42","52","50"
"male","group C","high school","free/reduced","none","56","48","46"
"female","group B","high school","standard","none","36","37","38"
"male","group B","high school","free/reduced","completed","70","75","76"
"male","group C","high school","free/reduced","none","76","75","72"
"male","group D","high school","free/reduced","none","61","49","43"
"female","group E","associate's degree","free/reduced","none","63","66","65"
"male","group A","associate's degree","standard","none","92","86","88"
"female","group C","master's degree","free/reduced","none","58","73","73"
"male","group B","master's degree","free/reduced","none","74","69","68"
"female","group C","high school","standard","completed","52","71","64"
"female","group E","some college","free/reduced","none","75","79","82"
"male","group C","bachelor's degree","free/reduced","none","83","78","79"
"male","group E","some high school","standard","none","78","77","75"
"male","group D","some college","standard","completed","95","87","86"
"female","group E","some high school","standard","completed","71","72","76"
"female","group B","some high school","free/reduced","none","65","81","76"
"female","group C","some college","free/reduced","none","37","56","48"
"male","group E","high school","free/reduced","none","52","51","48"
"female","group D","associate's degree","free/reduced","none","43","50","53"
"female","group E","associate's degree","free/reduced","none","66","78","70"
"female","group A","some college","standard","none","75","88","83"
"male","group D","high school","free/reduced","none","70","69","68"
"female","group C","some college","standard","none","74","82","79"
"male","group C","high school","standard","none","62","64","52"
"male","group A","some college","standard","completed","99","88","81"
"male","group A","associate's degree","free/reduced","completed","66","72","66"
"female","group B","associate's degree","standard","completed","52","70","68"
"female","group C","some high school","standard","completed","81","100","98"
"female","group C","some high school","free/reduced","none","27","36","25"
"male","group E","some high school","standard","completed","62","63","60"
"female","group B","high school","standard","none","25","35","36"
"male","group D","master's degree","free/reduced","completed","77","84","84"
"male","group C","high school","standard","none","65","66","60"
"female","group E","some college","standard","completed","94","100","100"
"female","group E","some high school","standard","none","89","89","90"
"male","group B","master's degree","standard","completed","81","78","82"
"female","group E","high school","free/reduced","none","57","60","57"
"female","group C","some college","free/reduced","none","57","69","71"
"female","group B","associate's degree","free/reduced","none","78","82","83"
"female","group A","associate's degree","standard","none","86","86","89"
"male","group B","high school","free/reduced","none","56","51","43"
"female","group A","some college","standard","completed","56","59","57"
"female","group B","high school","standard","completed","85","89","95"
"male","group C","bachelor's degree","standard","none","69","62","60"
"female","group B","some college","standard","none","53","68","61"
"female","group E","associate's degree","standard","none","81","78","79"
"female","group D","bachelor's degree","free/reduced","completed","53","66","70"
"female","group C","high school","standard","none","69","74","75"
"female","group B","bachelor's degree","standard","none","68","79","73"
"female","group C","some college","standard","completed","75","81","83"
"female","group C","some high school","standard","none","69","66","63"
"female","group A","bachelor's degree","standard","completed","74","74","90"
"male","group B","some college","standard","none","77","75","68"
"female","group C","some college","free/reduced","none","36","46","45"
"male","group A","high school","standard","none","36","43","35"
"male","group C","high school","standard","completed","87","86","73"
"male","group C","some high school","standard","none","86","86","77"
"female","group A","high school","standard","none","38","53","49"
"male","group D","master's degree","standard","none","88","93","83"
"female","group B","bachelor's degree","free/reduced","none","76","81","85"
"male","group C","some college","free/reduced","none","77","70","72"
"male","group A","some high school","free/reduced","none","56","56","49"
"male","group A","associate's degree","standard","completed","72","75","75"
"male","group C","bachelor's degree","free/reduced","none","62","59","61"
"female","group C","some high school","standard","completed","49","60","65"
"female","group D","some college","standard","none","64","72","71"
"female","group B","bachelor's degree","standard","completed","71","73","78"
"female","group A","associate's degree","standard","completed","71","86","90"
"male","group D","associate's degree","standard","none","61","53","53"
"male","group C","associate's degree","free/reduced","completed","71","72","72"
"male","group B","bachelor's degree","standard","none","42","50","38"
"male","group D","associate's degree","free/reduced","none","53","59","51"
"male","group A","high school","standard","none","61","48","45"
"female","group D","high school","standard","none","47","52","54"
"male","group B","some high school","free/reduced","none","47","57","48"
"male","group C","high school","standard","none","55","54","51"
"female","group A","some college","free/reduced","completed","62","71","76"
"male","group B","some college","free/reduced","completed","74","74","71"
"male","group D","associate's degree","standard","none","73","60","64"
"female","group B","associate's degree","standard","none","76","89","89"
"female","group C","bachelor's degree","standard","none","48","54","56"
"female","group C","associate's degree","standard","none","56","64","62"
"female","group D","bachelor's degree","standard","completed","62","77","79"
"male","group D","bachelor's degree","standard","none","88","94","88"
"female","group C","associate's degree","standard","completed","69","79","81"
"female","group C","associate's degree","free/reduced","none","83","85","80"
"female","group D","some college","free/reduced","none","47","56","50"
"male","group E","bachelor's degree","standard","none","75","71","65"
"female","group D","some high school","standard","none","46","59","53"
"male","group C","some college","free/reduced","none","37","48","40"
"female","group E","associate's degree","standard","completed","78","83","83"
"female","group C","bachelor's degree","standard","none","63","70","69"
"female","group B","high school","standard","none","72","75","72"
"male","group D","some high school","standard","none","58","52","50"
"male","group B","some college","standard","none","72","69","71"
"male","group C","some high school","standard","none","59","65","56"
"male","group C","bachelor's degree","free/reduced","none","47","42","44"
"female","group B","high school","standard","none","57","62","64"
"male","group C","associate's degree","standard","completed","84","85","89"
"female","group C","associate's degree","free/reduced","none","58","77","74"
"female","group A","bachelor's degree","standard","none","84","86","89"
"male","group C","associate's degree","standard","none","46","42","42"
"female","group C","high school","standard","none","58","74","71"
"male","group B","some high school","standard","completed","59","53","53"
"female","group E","bachelor's degree","standard","none","98","100","100"
"female","group D","some high school","standard","none","76","85","83"
"female","group C","bachelor's degree","standard","completed","86","92","95"
"female","group C","master's degree","standard","completed","80","81","88"
"male","group B","bachelor's degree","standard","none","80","78","72"
"male","group C","bachelor's degree","standard","none","76","62","66"
"female","group B","high school","standard","completed","53","58","57"
"male","group B","some high school","standard","none","77","64","62"
"female","group D","some college","free/reduced","none","38","55","50"
"male","group D","high school","free/reduced","none","32","37","30"
"female","group E","some college","free/reduced","completed","61","72","71"
"male","group D","high school","free/reduced","completed","80","75","74"
"female","group C","some high school","free/reduced","completed","74","94","96"
"male","group D","some college","standard","none","44","41","44"
"female","group D","some high school","standard","none","64","74","74"
"female","group C","some high school","standard","completed","47","45","47"
"female","group C","high school","free/reduced","completed","45","63","65"
"female","group C","some college","standard","none","65","64","64"
"female","group C","associate's degree","free/reduced","none","66","77","70"
"female","group C","associate's degree","standard","none","75","74","75"
"male","group E","some college","standard","none","64","67","65"
"male","group E","some high school","standard","none","79","72","65"
"female","group B","bachelor's degree","standard","none","52","65","63"
"male","group E","high school","standard","none","79","71","68"
"male","group E","bachelor's degree","free/reduced","completed","88","80","85"
"male","group E","bachelor's degree","standard","none","100","95","92"
"female","group D","bachelor's degree","standard","none","66","61","62"
"female","group B","associate's degree","free/reduced","none","64","72","72"
"male","group B","some high school","standard","none","78","76","71"
"male","group C","high school","free/reduced","completed","63","64","63"
"female","group D","bachelor's degree","free/reduced","completed","62","87","88"
"female","group E","some high school","standard","none","84","83","79"
"female","group D","some college","free/reduced","completed","78","92","94"
"female","group D","bachelor's degree","standard","completed","77","87","87"
"female","group E","associate's degree","standard","completed","77","82","82"
"male","group E","master's degree","standard","completed","98","90","97"
"female","group C","bachelor's degree","free/reduced","none","55","64","65"
"male","group E","some high school","standard","completed","69","59","61"
"female","group D","high school","free/reduced","none","61","83","81"
"male","group D","bachelor's degree","free/reduced","none","49","39","45"
"female","group D","associate's degree","standard","none","62","74","67"
"female","group D","some college","standard","none","78","88","92"
"male","group B","some college","free/reduced","none","42","45","33"
"female","group C","some college","standard","none","53","58","53"
"male","group D","high school","free/reduced","none","71","83","74"
"male","group E","some college","standard","none","88","76","74"
"female","group C","some high school","standard","none","68","80","77"
"male","group D","high school","free/reduced","none","77","74","77"
"male","group C","some college","free/reduced","completed","50","48","48"
"female","group D","high school","free/reduced","none","61","57","60"
"male","group C","bachelor's degree","free/reduced","none","51","51","45"
"male","group D","master's degree","standard","completed","80","78","80"
"female","group D","associate's degree","standard","none","59","65","71"
"male","group C","some high school","free/reduced","none","54","57","47"
"female","group C","master's degree","standard","completed","88","98","100"
"female","group C","some high school","free/reduced","none","57","61","61"
"male","group C","high school","standard","completed","54","52","50"
"female","group D","bachelor's degree","free/reduced","none","62","76","77"
"male","group A","master's degree","standard","completed","74","71","73"
"female","group C","associate's degree","standard","none","76","89","86"
"female","group C","some college","standard","completed","74","82","78"
"female","group B","associate's degree","standard","completed","63","61","66"
"female","group C","some high school","standard","none","66","69","68"
"female","group D","some high school","standard","none","55","67","65"
"female","group B","high school","free/reduced","completed","69","81","80"
"male","group D","some high school","standard","completed","75","74","76"
"female","group D","bachelor's degree","standard","none","64","65","69"
"female","group A","some high school","free/reduced","completed","30","44","47"
"male","group E","bachelor's degree","standard","completed","100","93","93"
"female","group D","associate's degree","standard","none","78","72","73"
"male","group B","associate's degree","standard","none","98","85","88"
"female","group E","high school","free/reduced","completed","79","96","93"
"male","group C","high school","standard","none","67","59","55"
"female","group C","high school","standard","completed","76","83","86"
"female","group D","some high school","standard","none","41","49","46"
"female","group E","some college","standard","none","58","61","63"
"male","group B","high school","standard","none","47","43","36"
"male","group E","bachelor's degree","standard","none","57","57","53"
"male","group C","some college","standard","none","72","66","68"
"male","group D","master's degree","standard","none","98","99","91"
"female","group B","master's degree","standard","none","78","95","95"
"female","group D","high school","free/reduced","none","52","65","59"
"female","group C","some high school","standard","none","47","59","63"
"male","group D","high school","standard","none","64","59","56"
"male","group B","high school","free/reduced","completed","68","69","62"
"female","group C","some college","standard","none","62","66","67"
"male","group E","bachelor's degree","free/reduced","completed","65","61","56"
"male","group D","master's degree","free/reduced","completed","57","61","68"
"male","group C","some college","free/reduced","completed","81","78","74"
"male","group D","high school","free/reduced","none","51","45","42"
"female","group C","some high school","standard","none","66","71","73"
"male","group C","high school","standard","completed","83","80","79"
"male","group D","some high school","standard","completed","70","80","75"
"male","group D","associate's degree","standard","none","82","78","78"
"male","group C","some college","free/reduced","completed","58","62","54"
"female","group C","bachelor's degree","standard","none","54","75","72"
"female","group C","bachelor's degree","free/reduced","none","58","75","73"
"male","group B","associate's degree","free/reduced","none","41","57","56"
"male","group E","master's degree","standard","none","81","70","72"
"female","group E","bachelor's degree","free/reduced","none","51","61","58"
"female","group B","associate's degree","free/reduced","completed","58","67","67"
"male","group B","some high school","free/reduced","completed","50","62","55"
"male","group E","high school","standard","none","94","85","70"
"female","group C","master's degree","standard","none","87","91","94"
"female","group C","some college","standard","completed","40","39","50"
"male","group B","associate's degree","standard","none","38","52","50"
"female","group D","some college","free/reduced","none","37","45","45"
"male","group C","high school","free/reduced","completed","78","82","78"
"male","group C","some college","standard","none","84","63","71"
"male","group A","bachelor's degree","standard","none","73","67","60"
"female","group C","some college","free/reduced","none","74","82","76"
"male","group B","some college","standard","none","93","84","74"
"male","group B","high school","free/reduced","completed","48","54","50"
"male","group D","some high school","standard","none","79","75","70"
"male","group D","some college","standard","completed","66","69","66"
"male","group D","bachelor's degree","standard","none","56","61","61"
"female","group D","some college","standard","none","62","64","66"
"female","group B","associate's degree","standard","none","59","70","66"
"male","group B","some high school","standard","none","64","66","57"
"male","group D","some college","free/reduced","completed","74","76","74"
"female","group D","some college","standard","completed","66","80","83"
"female","group C","high school","free/reduced","none","20","31","27"
"male","group A","some college","free/reduced","completed","58","66","61"
"male","group C","high school","standard","completed","54","54","44"
"female","group D","some college","free/reduced","none","71","95","88"
"female","group A","bachelor's degree","free/reduced","none","49","59","55"
"male","group E","associate's degree","standard","none","100","99","94"
"female","group B","associate's degree","standard","none","90","100","98"
"male","group D","associate's degree","standard","none","54","54","47"
"female","group C","high school","standard","none","73","75","79"
"male","group C","master's degree","standard","completed","97","95","100"
"male","group B","high school","standard","none","68","74","61"
"female","group A","associate's degree","standard","none","44","50","49"
"male","group D","some college","standard","none","87","74","79"
"female","group D","associate's degree","free/reduced","completed","88","93","99"
"female","group D","bachelor's degree","standard","completed","95","100","100"
"male","group C","high school","standard","none","92","80","74"
"female","group C","high school","standard","completed","70","75","78"
"male","group C","master's degree","standard","none","42","42","39"
"female","group C","master's degree","free/reduced","none","51","71","66"
"female","group E","high school","free/reduced","none","54","59","60"
"male","group C","some college","free/reduced","completed","66","78","72"
"female","group B","associate's degree","standard","none","60","67","69"
"female","group E","master's degree","standard","none","100","100","100"
"female","group C","high school","standard","none","79","93","88"
"female","group D","some high school","standard","none","53","60","62"
"female","group D","high school","standard","none","62","66","72"
"male","group D","some high school","standard","none","63","49","53"
"female","group A","high school","free/reduced","completed","29","50","48"
"male","group D","high school","standard","none","69","65","64"
"male","group C","high school","standard","none","68","54","54"
"female","group A","bachelor's degree","standard","none","68","61","70"
"male","group C","some college","free/reduced","none","52","40","36"
"female","group E","some high school","standard","none","72","82","76"
"male","group D","some high school","standard","none","80","73","71"
"female","group C","bachelor's degree","free/reduced","none","63","80","80"
"male","group A","some college","standard","none","83","71","70"
"male","group C","some college","standard","completed","88","78","79"
"male","group C","bachelor's degree","free/reduced","completed","81","87","81"
"male","group C","associate's degree","free/reduced","none","81","81","71"
"female","group E","some college","standard","completed","94","100","100"
"female","group D","bachelor's degree","free/reduced","none","52","63","71"
"female","group C","high school","free/reduced","none","48","57","60"
"female","group D","some high school","standard","completed","56","70","68"
"male","group C","some high school","standard","none","70","65","59"
"male","group C","bachelor's degree","standard","none","67","61","61"
"female","group C","associate's degree","standard","completed","95","93","100"
"female","group C","some college","standard","completed","68","80","79"
"male","group D","some college","free/reduced","none","43","43","41"
"male","group B","high school","standard","completed","63","54","54"
"male","group A","some high school","free/reduced","none","54","44","46"
"female","group D","bachelor's degree","standard","none","78","94","94"
"male","group B","some high school","standard","completed","75","79","72"
"female","group D","some college","free/reduced","none","51","56","61"
"male","group D","some high school","standard","completed","80","80","80"
"female","group C","high school","free/reduced","none","63","70","70"
"male","group E","high school","standard","none","56","51","52"
"male","group C","associate's degree","free/reduced","none","67","68","63"
"female","group A","some college","standard","none","71","90","80"
"female","group E","some high school","standard","none","86","83","90"
"male","group C","associate's degree","free/reduced","none","54","55","55"
"female","group A","high school","free/reduced","completed","29","48","48"
"female","group E","some high school","free/reduced","completed","55","60","67"
"male","group D","associate's degree","standard","completed","79","74","74"
"male","group D","bachelor's degree","free/reduced","none","73","85","81"
"female","group E","some high school","standard","none","76","93","88"
"male","group C","some high school","standard","none","63","54","51"
"male","group E","high school","standard","none","77","68","71"
"male","group A","master's degree","free/reduced","completed","56","63","63"
"female","group E","some college","free/reduced","none","79","86","76"
"female","group D","associate's degree","standard","none","72","79","79"
"female","group A","associate's degree","standard","none","79","72","73"
"female","group D","high school","standard","none","49","49","47"
"male","group B","high school","standard","completed","68","65","62"
"female","group B","some high school","standard","none","54","66","63"
"female","group C","associate's degree","standard","none","92","93","98"
"male","group B","high school","standard","none","73","79","72"
"female","group D","associate's degree","free/reduced","completed","68","88","84"
"female","group A","some college","standard","completed","48","55","54"
"male","group B","master's degree","standard","none","53","46","48"
"female","group C","bachelor's degree","free/reduced","none","59","70","72"
"male","group B","high school","standard","completed","85","86","87"
"female","group C","some college","standard","none","64","70","71"
"female","group C","high school","free/reduced","none","49","64","57"
"male","group C","associate's degree","free/reduced","none","62","63","58"
"male","group C","some high school","standard","none","70","74","71"
"female","group D","high school","free/reduced","none","48","70","62"
"male","group D","some college","free/reduced","completed","94","93","91"
"female","group B","some high school","free/reduced","none","35","47","46"
"female","group D","some high school","standard","none","74","79","80"
"female","group C","high school","standard","none","72","93","88"
"male","group B","some college","free/reduced","completed","66","68","67"
"male","group B","some high school","free/reduced","none","42","47","44"
"male","group C","some college","standard","completed","88","88","87"
"male","group C","high school","standard","none","65","49","43"
"male","group B","high school","free/reduced","completed","70","62","64"
"female","group E","some college","standard","completed","100","98","100"
"female","group C","some high school","standard","none","70","82","78"
"female","group B","high school","standard","completed","71","83","82"
"female","group C","associate's degree","standard","none","79","84","83"
"female","group C","associate's degree","free/reduced","none","58","67","56"
"male","group C","high school","standard","none","88","88","82"
"male","group B","associate's degree","standard","none","57","64","59"
"male","group B","master's degree","standard","completed","70","75","75"
"female","group D","high school","standard","completed","94","96","100"
"male","group C","associate's degree","free/reduced","none","45","41","42"
"male","group A","some high school","standard","none","64","53","55"
"male","group C","master's degree","standard","completed","86","86","87"
"female","group E","associate's degree","free/reduced","none","63","79","70"
"female","group C","bachelor's degree","standard","none","59","59","64"
"male","group B","high school","standard","none","92","85","80"
"female","group D","some high school","free/reduced","none","41","55","48"
"male","group D","high school","standard","none","85","87","87"
"male","group A","associate's degree","standard","none","84","82","78"
"male","group B","associate's degree","free/reduced","completed","57","60","59"
"female","group B","high school","standard","none","49","61","66"
"female","group C","some high school","standard","none","83","86","84"
"male","group B","some college","standard","none","62","46","43"
"female","group A","associate's degree","standard","none","65","66","70"
"female","group D","associate's degree","standard","completed","73","81","79"
"male","group C","some college","standard","none","45","46","43"
"female","group B","some high school","free/reduced","none","21","29","33"
"male","group B","high school","free/reduced","none","58","56","51"
"male","group D","some college","standard","completed","80","73","79"
"male","group C","master's degree","free/reduced","completed","68","70","69"
"male","group E","some high school","free/reduced","none","72","58","58"
"male","group B","bachelor's degree","standard","completed","74","64","63"
"female","group D","high school","free/reduced","none","29","42","44"
"male","group E","high school","standard","none","64","59","59"
"female","group D","associate's degree","free/reduced","completed","62","72","74"
"male","group C","some high school","free/reduced","completed","41","46","45"
"male","group E","associate's degree","standard","none","79","75","76"
"female","group C","associate's degree","standard","completed","78","84","87"
"male","group C","some high school","standard","none","50","47","47"
"male","group D","some college","standard","none","59","58","60"
"female","group E","some high school","standard","none","85","86","91"
"female","group D","some high school","standard","none","69","67","67"
"female","group E","associate's degree","standard","completed","73","81","77"
"male","group A","high school","free/reduced","none","57","65","58"
"female","group A","high school","standard","none","64","78","72"
"male","group B","high school","free/reduced","none","69","65","63"
"female","group E","some high school","free/reduced","none","58","66","61"
"female","group E","bachelor's degree","free/reduced","none","90","89","94"
"female","group E","bachelor's degree","free/reduced","none","75","86","79"
"female","group E","associate's degree","standard","completed","80","80","84"
"female","group B","some high school","free/reduced","none","34","47","40"
"female","group D","some college","standard","none","65","68","67"
"female","group A","associate's degree","free/reduced","none","58","67","63"
"male","group A","some college","free/reduced","completed","48","56","53"
"female","group A","some college","free/reduced","none","62","73","66"
"female","group C","associate's degree","standard","completed","57","80","74"
"male","group B","associate's degree","free/reduced","none","60","53","54"
"male","group E","associate's degree","free/reduced","none","65","66","53"
"female","group C","some high school","standard","none","83","83","83"
"female","group C","associate's degree","standard","none","71","76","67"
"male","group A","high school","standard","completed","59","54","56"
"female","group C","some high school","standard","none","51","59","55"
"male","group D","some high school","free/reduced","none","67","72","69"
"female","group B","some high school","free/reduced","completed","55","74","69"
"male","group B","high school","free/reduced","completed","62","55","58"
"male","group D","master's degree","free/reduced","none","86","79","73"
"female","group B","some high school","standard","completed","44","67","63"
"female","group C","master's degree","standard","completed","78","93","95"
"female","group D","some college","standard","completed","63","71","71"
"male","group C","high school","standard","completed","72","66","68"
"female","group C","associate's degree","standard","none","89","94","94"
"male","group B","some high school","standard","none","41","41","33"
"male","group C","associate's degree","standard","none","77","77","75"
"female","group B","some college","standard","none","68","84","79"
"male","group E","high school","free/reduced","none","43","47","45"
"male","group C","some high school","standard","none","77","65","58"
"male","group B","associate's degree","free/reduced","none","50","50","45"
"female","group E","bachelor's degree","standard","none","93","99","94"
